Client County Name,Estimated Coverage (12+ 1 Dose),Estimated Coverage (12+ Fully),Estimated Coverage (65+ 1 Dose),Estimated Coverage (65+ Fully),Percentage of Population Vaccinated,County Name ,PHR Critical Pop,Latitude (generated),Longitude (generated),FULLY_VACCINATED_CALC,Population 16Up,TOTAL_PEOPLE_CALC
BRISCOE,0.459319527,0.408284024,0.717821782,67.57%,0.459319527,Briscoe,1,34.535,-101.2086,552,1272,621
BROOKS,0.797164858,0.69880994,0.909785933,83.18%,0.797164858,Brooks,11,27.0383,-98.2019,3993,5317,4555
BROWN,0.459190808,0.408608688,0.713341969,66.23%,0.459190808,Brown,02-Mar,31.7664,-98.958,13442,30883,15106
BURLESON,0.551800101,0.486341893,0.815102146,75.28%,0.551800101,Burleson,7,30.5133,-96.6354,7727,14869,8767
BURNET,0.603419627,0.523636364,0.874806801,78.67%,0.603419627,Burnet,7,30.7338,-98.1859,21744,39239,25057
CALDWELL,0.649304813,0.548262032,0.828316953,74.31%,0.649304813,Caldwell,7,29.8519,-97.6266,20505,34853,24284
CALHOUN,0.640704914,0.5579831,0.878924893,78.80%,0.640704914,Calhoun,8,28.5138,-96.695,10037,16817,11525
CALLAHAN,0.438111976,0.383630429,0.664638269,61.26%,0.438111976,Callahan,02-Mar,32.2983,-99.3739,4584,11263,5235
CAMERON,0.935001089,0.804055367,0.936219223,85.70%,0.935001089,Cameron,11,26.1073,-97.5787,273136,311689,317618
CAMP,0.512437349,0.429738259,0.749799519,67.24%,0.512437349,Camp,4/5N,32.99,-94.9935,4630,10031,5521
CARSON,0.397595111,0.348905973,0.6048,55.92%,0.397595111,Carson,1,35.3997,-101.3546,1770,4718,2017
CASS,0.4071679,0.349863654,0.617415403,55.47%,0.4071679,Cass,4/5N,33.101,-94.3483,8981,24182,10452
CASTRO,0.547129107,0.444739462,0.75,67.72%,0.547129107,Castro,1,34.5304,-102.2618,2680,5607,3297
CHAMBERS,0.598070289,0.508007741,0.880775813,77.45%,0.598070289,Chambers,6/5S,29.7071,-94.5223,18112,33062,21323
CHEROKEE,0.471535861,0.399133256,0.690491317,63.33%,0.471535861,Cherokee,4/5N,31.7826,-95.1853,17591,40876,20782
CHILDRESS,0.551487771,0.506309394,0.766523605,72.88%,0.551487771,Childress,1,34.5307,-100.2067,3250,6094,3540
CLAY,0.486276654,0.442536905,0.731884058,69.97%,0.486276654,Clay,02-Mar,33.81,-98.2007,4047,8666,4447
COCHRAN,0.472681067,0.41296061,0.668803419,64.96%,0.472681067,Cochran,1,33.6054,-102.8284,975,2188,1116
COKE,0.448598131,0.386638975,0.604012672,54.17%,0.448598131,Coke,09-Oct,31.8934,-100.5296,1117,2756,1296
