COVID-19 Vaccinations Equity
Date generated: Mon Oct 04 2021 17:46:26 GMT+0100 (British Summer Time)
County,State,SVI,County of Residence Reporting Completeness,Percent of total population fully vaccinated,Percent of 12+ pop fully vaccinated,Percent of 18+ pop fully vaccinated,Percent of 65+ pop fully vaccinated
Alpena County,MI ,Low-Mod,94.2,46.4,52.8,55.1,76.8
Antrim County,MI ,Low,94.2,51.9,58.2,60.5,77.3
Arenac County,MI ,Mod-High,94.2,44.9,50.8,53.6,77.4
Baraga County,MI ,Mod-High,94.2,51.3,57.3,60.4,77.7
Barry County,MI ,Low,94.2,41.6,48.4,50.5,73.3
Bay County,MI ,Low-Mod,94.2,50.1,57.3,59.5,80.6
Benzie County,MI ,Low,94.2,58.3,65.6,67.8,79.7
Berrien County,MI ,Mod-High,94.2,48.2,56.1,58.4,77.2
Branch County,MI ,Mod-High,94.2,38.9,45.7,48.5,74.4
Calhoun County,MI ,Mod-High,94.2,43.7,51.4,53.6,76.5
Cass County,MI ,Low-Mod,94.2,37.2,42.7,44.9,63.6
Charlevoix County,MI ,Low,94.2,57.6,65,67,82.9
Cheboygan County,MI ,Low-Mod,94.2,45.8,50.9,52.8,67.4
Chippewa County,MI ,Mod-High,94.2,61.7,69.8,71,92.8
Clare County,MI ,High,94.2,39.3,45.2,47.4,68.5
Clinton County,MI ,Low,94.2,49.4,57.5,59.1,77.4
Crawford County,MI ,Low-Mod,94.2,43.6,49.3,50.8,63.8
Delta County,MI ,Low-Mod,94.2,54.8,62.7,65.9,93.8
Dickinson County,MI ,Low,94.2,59,67.8,71.3,99.9
Eaton County,MI ,Low-Mod,94.2,48.7,56.3,57.9,78.1
Emmet County,MI ,Low,94.2,64.6,73.2,75,88.5
Genesee County,MI ,Mod-High,94.2,43.2,50.5,52.7,76.2
Gladwin County,MI ,Mod-High,94.2,41.7,47.5,49.8,70.3
Gogebic County,MI ,Low-Mod,94.2,55.9,62.7,65.3,84.8
Grand Traverse County,MI ,Low,94.2,59.7,68.5,69.9,87.6
Gratiot County,MI ,Mod-High,94.2,38.8,44.3,46.3,76.5
Hillsdale County,MI ,Mod-High,94.2,33.3,38.7,41,66.2
Houghton County,MI ,Low-Mod,94.2,45.1,51.9,53.9,79.8
Huron County,MI ,Low-Mod,94.2,47.6,54.4,57.2,78
Ingham County,MI ,Mod-High,94.2,49.8,57.4,58.1,83.6
Ionia County,MI ,Low-Mod,94.2,39.9,46.6,48.8,77.3
Iosco County,MI ,Low-Mod,94.2,48.8,54.8,57,75.2
Iron County,MI ,Low-Mod,94.2,49.9,56,58.5,75.2
Isabella County,MI ,Mod-High,94.2,38,42.9,43.6,75.7
Jackson County,MI ,Mod-High,94.2,45.5,52.8,55.1,80.1
Kalamazoo County,MI ,Low-Mod,94.2,53,61.8,62.9,86.2
Kalkaska County,MI ,Mod-High,94.2,41.8,48.1,50.6,78.4
Kent County,MI ,Low-Mod,94.2,52.7,62.6,64.5,81.6
Keweenaw County,MI ,Low,94.2,49.9,54.7,56.9,66.8
Lake County,MI ,High,94.2,51.5,57.9,60.6,62.5
Lapeer County,MI ,Low,94.2,40.6,46.4,48.9,74.1
Leelanau County,MI ,Low,94.2,73.4,81.6,82.6,85.9
Lenawee County,MI ,Low-Mod,94.2,45.9,52.9,55.1,81
Livingston County,MI ,Low,94.2,52.8,60.6,62.8,82.9
Luce County,MI ,Mod-High,94.2,39.4,44,45.7,77.3
Mackinac County,MI ,Mod-High,94.2,65.8,72.7,75.9,84.6
Macomb County,MI ,Low-Mod,94.2,49.9,57.6,59.8,80.7
Manistee County,MI ,Low-Mod,94.2,51.7,57.7,59.6,76.8
Marquette County,MI ,Low-Mod,94.2,57.6,65.3,66.5,89.7
Mason County,MI ,Low-Mod,94.2,53.3,61.3,63.6,84.2
Mecosta County,MI ,Mod-High,94.2,35.1,39.9,41.4,67.9
Menominee County,MI ,Low-Mod,94.2,62.7,70.3,74.1,99.9
Midland County,MI ,Low,94.2,50.6,58.5,60.2,79.1
Missaukee County,MI ,Low-Mod,94.2,41.2,48.6,51.9,77.1
Monroe County,MI ,Low,94.2,49,56.6,59.1,81.7
Montcalm County,MI ,Mod-High,94.2,35.6,41.5,43.8,69.5
Montmorency County,MI ,Low-Mod,94.2,46.8,51.5,53.7,74.2
Muskegon County,MI ,Mod-High,94.2,47.1,55.4,57.8,82.8
Newaygo County,MI ,Mod-High,94.2,37.3,43.5,46,68.7
Oakland County,MI ,Low,94.2,58.7,67.6,69.2,83.8
Oceana County,MI ,High,94.2,46,53.7,56.4,74.6
Ogemaw County,MI ,Mod-High,94.2,39.2,44.5,47,69.6
Ontonagon County,MI ,Low-Mod,94.2,62.1,66.7,69.5,79.4
Osceola County,MI ,Mod-High,94.2,35.4,41.1,44,66.8
Oscoda County,MI ,Mod-High,94.2,37.5,43,45.7,70.9
Otsego County,MI ,Low-Mod,94.2,49.3,57,59.6,82.8
Ottawa County,MI ,Low,94.2,49.6,58.7,60.6,81.7
Presque Isle County,MI ,Low-Mod,94.2,53.3,59.1,61.8,79.7
Roscommon County,MI ,Low-Mod,94.2,48.8,53.9,56.2,73.5
Saginaw County,MI ,Mod-High,94.2,46,53.5,55.7,80
Sanilac County,MI ,Low-Mod,94.2,37.7,43.6,46.6,69.3
Schoolcraft County,MI ,Mod-High,94.2,45.1,50.7,52.1,62.2
Shiawassee County,MI ,Low,94.2,44.1,50.8,53.1,75.8
St. Clair County,MI ,Low-Mod,94.2,43.8,50.2,52.7,75.8
St. Joseph County,MI ,Mod-High,94.2,38.6,45.9,48.4,72.2
Tuscola County,MI ,Low-Mod,94.2,39.2,44.8,47.2,70.3
Van Buren County,MI ,Mod-High,94.2,48.2,56.7,59,79.4
Washtenaw County,MI ,Low,94.2,62.9,71.4,72,91.4
Wayne County,MI ,High,94.2,46,54.5,56.7,75.4
Wexford County,MI ,Mod-High,94.2,42.8,50.4,52.8,72.2
Aitkin County,MN ,Low-Mod,94.1,53,59,61.2,77.9
Anoka County,MN ,Low,94.1,49.4,58.3,59.8,78.1
Becker County,MN ,Low-Mod,94.1,47,55.6,58.8,85.4
Beltrami County,MN ,High,94.1,50.3,60.7,62.3,89.8
Benton County,MN ,Low-Mod,94.1,34,41,42.3,60.5
Big Stone County,MN ,Low,94.1,57.3,66.7,69.1,90.1
Blue Earth County,MN ,Low-Mod,94.1,52.7,60.7,61.8,95
Brown County,MN ,Low,94.1,57.6,67.1,69.8,99.7
Carlton County,MN ,Low-Mod,94.1,54.9,63.8,66.4,88.8
Carver County,MN ,Low,94.1,56.1,67.1,68.8,85.1
Cass County,MN ,Low-Mod,94.1,44.6,51.5,53.7,77.5
Chippewa County,MN ,Low-Mod,94.1,44.5,53.2,55.4,81.7
Chisago County,MN ,Low,94.1,49,57.3,59.9,93.2
Clay County,MN ,Low,94.1,33.1,39.8,40.6,73.1
Clearwater County,MN ,High,94.1,36.6,43.6,46.4,76.7
Cook County,MN ,Low,94.1,71.1,78.9,80.5,93
Cottonwood County,MN ,Low-Mod,94.1,48.1,57.4,60.1,80.3
Crow Wing County,MN ,Low,94.1,49.4,57.2,59.8,87.2
Dakota County,MN ,Low,94.1,58.9,69.8,71.3,87.4
Dodge County,MN ,Low,94.1,50.7,60.3,62.3,86.5
Douglas County,MN ,Low,94.1,50,58.1,60.5,87.1
Faribault County,MN ,Low,94.1,49.6,57.6,60.4,88.5
Fillmore County,MN ,Low,94.1,58.1,69.4,72.4,97.8
Freeborn County,MN ,Low-Mod,94.1,49.3,57.3,59.9,83.3
Goodhue County,MN ,Low,94.1,57.4,66.8,68.9,91.1
Grant County,MN ,Low,94.1,48.5,57,59.5,82.2
Hennepin County,MN ,Low-Mod,94.1,63.4,74.2,75.4,89.8
Houston County,MN ,Low,94.1,38,44.2,47.1,62
Hubbard County,MN ,Low,94.1,40.6,47.1,49.5,74.7
Isanti County,MN ,Low,94.1,35.1,41.4,43.1,68.1
Itasca County,MN ,Low-Mod,94.1,48.4,55.6,58,81.5
Jackson County,MN ,Low,94.1,42.5,49.2,51.6,71
Kanabec County,MN ,Low-Mod,94.1,35.7,41.2,43,69
Kandiyohi County,MN ,Low-Mod,94.1,44.7,53.4,56.2,82.9
Kittson County,MN ,Low,94.1,47.3,55.4,57.5,77.8
Koochiching County,MN ,Low-Mod,94.1,51.9,58.3,60.7,77.1
Lac qui Parle County,MN ,Low,94.1,51.6,59.3,61.3,74.4
Lake County,MN ,Low,94.1,59,67.3,69,82.7
Lake of the Woods County,MN ,Low,94.1,49.4,56,58.1,83.4
Le Sueur County,MN ,Low,94.1,41.5,48.9,51.2,74.7
Lincoln County,MN ,Low,94.1,43.1,51,53.1,72.7
Lyon County,MN ,Low-Mod,94.1,48.4,58.7,61.2,89.7
Mahnomen County,MN ,High,94.1,51.9,67,71.8,99.9
Marshall County,MN ,Low,94.1,38.4,45.4,47.2,63.4
Martin County,MN ,Low,94.1,48.4,56.4,59.3,81.1
McLeod County,MN ,Low,94.1,48.4,56.4,59.2,84.2
Meeker County,MN ,Low,94.1,40.7,48.1,51,77.4
Mille Lacs County,MN ,Mod-High,94.1,49.6,58.7,61.7,97.3
Morrison County,MN ,Low-Mod,94.1,40.9,48.1,50.8,81.8
Mower County,MN ,Mod-High,94.1,53.3,63.7,66,87.9
Murray County,MN ,Low,94.1,46,53.4,55.8,74.8
Nicollet County,MN ,Low-Mod,94.1,54.4,63.3,64.3,84.1
Nobles County,MN ,High,94.1,50.6,62.5,65.5,85.1
Norman County,MN ,Low-Mod,94.1,47.6,56.4,58.6,77.7
Olmsted County,MN ,Low-Mod,94.1,65.2,77.6,79.1,89.9
Otter Tail County,MN ,Low,94.1,42.6,49.8,51.7,75.1
Pennington County,MN ,Low-Mod,94.1,44.4,52.4,53.8,73.5
Pine County,MN ,Low-Mod,94.1,41.4,47.1,49.2,74
Pipestone County,MN ,Low-Mod,94.1,47.1,57,60.5,91.3
Polk County,MN ,Low-Mod,94.1,34.9,41.7,43.4,64.9
Pope County,MN ,Low,94.1,49.7,57.8,60,84.5
Ramsey County,MN ,Mod-High,94.1,60.6,71.9,73.1,89.4
Red Lake County,MN ,Low,94.1,46.9,55.7,58.1,76.3
Redwood County,MN ,Low,94.1,45.7,54.4,57.3,81.4
Renville County,MN ,Low,94.1,46.8,55.3,58.1,86.4
Rice County,MN ,Low-Mod,94.1,55.4,64.4,65.7,95.6
Rock County,MN ,Low,94.1,46,54.3,57,88
Roseau County,MN ,Low,94.1,45.2,53.5,56.4,82.1
Scott County,MN ,Low,94.1,58.5,70.6,72.6,91.3
Sherburne County,MN ,Low,94.1,37.8,45.4,47.4,76.6
Sibley County,MN ,Low,94.1,40.3,47.2,49.8,74
St. Louis County,MN ,Low-Mod,94.1,57.5,65.5,66.9,87.3
Stearns County,MN ,Low-Mod,94.1,48.6,57.4,59.4,89
Steele County,MN ,Low-Mod,94.1,52.7,62.4,65,87.2
Stevens County,MN ,Low,94.1,49.3,57.5,59.2,84
Swift County,MN ,Low-Mod,94.1,49.3,58.2,60.8,84.2
Todd County,MN ,Low-Mod,94.1,36,43,45.5,68.2
Traverse County,MN ,Low-Mod,94.1,53.5,62.1,64.4,86.6
Wabasha County,MN ,Low,94.1,62.7,72.9,75.1,99.8
Wadena County,MN ,Mod-High,94.1,42.2,50.8,54.9,85.6
Waseca County,MN ,Low-Mod,94.1,49.8,58.1,60.8,85.6
Washington County,MN ,Low,94.1,58.7,69.2,70.7,89.9
Watonwan County,MN ,Mod-High,94.1,49.2,58.8,60.7,80.2
Wilkin County,MN ,Low,94.1,28.3,33.1,34.4,55
Winona County,MN ,Low,94.1,52.6,59.2,59.8,88.5
Wright County,MN ,Low,94.1,45.8,55.6,58.4,85.9
Yellow Medicine County,MN ,Low-Mod,94.1,49.1,57.6,60.9,93.2
Adams County,MS ,High,98.3,45.6,52.5,54.4,79.4
Alcorn County,MS ,Mod-High,98.3,33.1,38.7,41.2,64.7
Amite County,MS ,High,98.3,33.7,38.8,40.4,55.3
Attala County,MS ,High,98.3,45.7,54.6,57.7,83.4
Benton County,MS ,Mod-High,98.3,43.2,50.1,52.7,77.7
Bolivar County,MS ,High,98.3,50.9,61,63.6,89.5
Calhoun County,MS ,High,98.3,36.1,42.2,45.5,68.1
Carroll County,MS ,Mod-High,98.3,35.8,40.3,41.9,54.1
Chickasaw County,MS ,High,98.3,42.1,50.5,53.9,84.1
Choctaw County,MS ,High,98.3,30.7,35.6,36.7,50.2
Claiborne County,MS ,High,98.3,46.1,53.6,53.6,77.3
Clarke County,MS ,Mod-High,98.3,47.6,55.4,58.2,79.6
Clay County,MS ,Mod-High,98.3,40,46.6,48.7,73
Coahoma County,MS ,High,98.3,42.7,52.5,54.7,78.9
Copiah County,MS ,High,98.3,46.1,54,55.8,77.2
Covington County,MS ,High,98.3,43.4,51.8,54.7,82.1
DeSoto County,MS ,Low-Mod,98.3,44.1,52.4,54.8,79.2
Forrest County,MS ,High,98.3,35.4,42.1,43.6,67
Franklin County,MS ,Mod-High,98.3,41.3,48,50.5,66.9
George County,MS ,Mod-High,98.3,33.8,41.2,44.5,82.1
Greene County,MS ,Mod-High,98.3,32.2,36.7,38.7,54.9
Grenada County,MS ,High,98.3,45.8,54.2,56.8,80.6
Hancock County,MS ,Mod-High,98.3,34.2,39,41,60.5
Harrison County,MS ,High,98.3,45.2,53.6,56.4,79.3
Hinds County,MS ,High,98.3,49.7,58.9,60.6,85.2
Holmes County,MS ,High,98.3,50.2,59.9,62,89
Humphreys County,MS ,High,98.3,48.8,58.3,60.4,78.3
Issaquena County,MS ,High,98.3,32,34,34.8,36.7
Itawamba County,MS ,Mod-High,98.3,30.8,35.8,38,64.2
Jackson County,MS ,Mod-High,98.3,38.3,44.8,46.9,70.1
Jasper County,MS ,High,98.3,42,49.3,51.2,71.5
Jefferson County,MS ,High,98.3,59.2,69.8,70.2,82.1
Jefferson Davis County,MS ,High,98.3,38,44.1,44.9,56.4
Jones County,MS ,High,98.3,36.2,43.4,46.1,73.3
Kemper County,MS ,High,98.3,38.8,43.8,43.9,60
Lafayette County,MS ,Mod-High,98.3,48.6,55.4,56.6,80.4
Lamar County,MS ,Mod-High,98.3,51.4,61.3,64,97.2
Lauderdale County,MS ,High,98.3,44,51.9,54.6,77.1
Lawrence County,MS ,Mod-High,98.3,47.9,57.2,60.2,97.3
Leake County,MS ,High,98.3,40.2,47.4,50.6,74.8
Lee County,MS ,High,98.3,38.3,45.8,48.4,74.7
Leflore County,MS ,High,98.3,53.4,65.3,68.3,92.4
Lincoln County,MS ,High,98.3,33.4,39.4,41.2,65.3
Lowndes County,MS ,High,98.3,43.4,51.5,54,79.8
Madison County,MS ,Low-Mod,98.3,56.1,66.6,69.2,97.1
Marion County,MS ,High,98.3,38.5,45.1,47.5,69.6
Marshall County,MS ,Mod-High,98.3,44.2,51.2,53.3,77.8
Monroe County,MS ,Mod-High,98.3,44.3,51.6,54.6,81.3
Montgomery County,MS ,High,98.3,48.6,57,59.5,77.3
Neshoba County,MS ,High,98.3,33.9,41.2,42.9,61
Newton County,MS ,High,98.3,45,53.7,57.3,92.9
Noxubee County,MS ,High,98.3,48.4,58,60.4,85.6
Oktibbeha County,MS ,Mod-High,98.3,45.6,51.8,52.5,84.8
Panola County,MS ,High,98.3,39,46.6,49.2,76.7
Pearl River County,MS ,Mod-High,98.3,38.3,44.8,47.7,76.2
Perry County,MS ,Mod-High,98.3,31.3,36.6,38.9,62.4
Pike County,MS ,High,98.3,42.5,51.1,54.1,79.9
Pontotoc County,MS ,High,98.3,36.4,43.9,47.4,78.8
Prentiss County,MS ,High,98.3,37.7,44.3,47,76.1
Quitman County,MS ,High,98.3,43,50.7,52.9,72.3
Rankin County,MS ,Low-Mod,98.3,45.2,52.9,55.3,77.9
Scott County,MS ,High,98.3,42.6,52.1,54.6,83.1
Sharkey County,MS ,High,98.3,47.7,56.7,60,78.8
Simpson County,MS ,High,98.3,38.6,45.3,47.8,72.3
Smith County,MS ,Low-Mod,98.3,29,34,35.8,49.7
Stone County,MS ,Mod-High,98.3,38.2,44.5,46.9,80.2
Sunflower County,MS ,High,98.3,45.6,53,55.2,82.5
Tallahatchie County,MS ,High,98.3,35.8,41.3,42.6,69.1
Tate County,MS ,High,98.3,37.1,43.3,45.4,70.2
Tippah County,MS ,High,98.3,36.3,42.9,46.2,78.1
Tishomingo County,MS ,Mod-High,98.3,33.6,38.9,41.5,68.3
Tunica County,MS ,High,98.3,42.1,52.6,54.1,81.4
Union County,MS ,High,98.3,34.3,41,44,71.7
Walthall County,MS ,High,98.3,34.6,40.3,42.2,61
Warren County,MS ,High,98.3,49.7,58.6,60.7,82.9
Washington County,MS ,High,98.3,41.8,50.5,53.3,81
Wayne County,MS ,High,98.3,32.9,39.2,41.3,61.3
Webster County,MS ,Mod-High,98.3,42.3,49.7,53.7,90.6
Wilkinson County,MS ,High,98.3,55.6,64.2,65.7,91.9
Winston County,MS ,High,98.3,42.4,49.2,52,75.8
Yalobusha County,MS ,Mod-High,98.3,57.4,67,70.7,96.9
Yazoo County,MS ,High,98.3,42.1,48.6,50.1,80.5
Adair County,MO ,Low-Mod,91.2,39.5,44.7,46.1,72.4
Andrew County,MO ,Low,91.2,31.9,37.5,39.8,55.2
Atchison County,MO ,Low,91.2,50,57.4,60.4,78.2
Audrain County,MO ,Mod-High,91.2,32.8,38.3,40.7,68.3
Barry County,MO ,Mod-High,91.2,38.8,45.6,48.1,67.6
Barton County,MO ,Mod-High,91.2,30.1,35.2,38.1,58.3
Bates County,MO ,Low-Mod,91.2,34.1,40,42.5,65.9
Benton County,MO ,Mod-High,91.2,42.4,47.7,50,68
Bollinger County,MO ,Low-Mod,91.2,29.3,33.9,36.1,56.9
Boone County,MO ,Low-Mod,91.2,54.1,62.7,63.6,87.9
Buchanan County,MO ,Mod-High,91.2,33,38.8,40.6,55.5
Butler County,MO ,High,91.2,29.6,35,37.2,58
Caldwell County,MO ,Low-Mod,91.2,34.1,39.9,42.4,65.8
Callaway County,MO ,Low-Mod,91.2,41.5,48,50,73.3
Camden County,MO ,Low-Mod,91.2,40.3,45.3,47.4,64.1
Cape Girardeau County,MO ,Low-Mod,91.2,42.1,48.9,51.2,78.8
Carroll County,MO ,Mod-High,91.2,44,51.3,55.4,81.8
Carter County,MO ,Mod-High,91.2,28.9,33.9,36,58.2
Cass County,MO ,Low,91.2,43.9,51.8,53.8,74.2
Cedar County,MO ,Mod-High,91.2,28.5,33.7,36.4,55.5
Chariton County,MO ,Low,91.2,33.2,39.2,41.9,56.2
Christian County,MO ,Low,91.2,40.7,48.6,50.7,73
Clark County,MO ,Low-Mod,91.2,26.7,31.3,33.3,50.8
Clay County,MO ,Low,91.2,45.9,54.5,55.5,76.9
Clinton County,MO ,Low,91.2,41.1,48,50.4,70.1
Cole County,MO ,Low-Mod,91.2,47.3,55.2,57.3,81.9
Cooper County,MO ,Low-Mod,91.2,37.7,43.8,45.4,69.8
Crawford County,MO ,High,91.2,29,33.8,35.9,54.8
Dade County,MO ,Mod-High,91.2,39.4,45.2,48.2,69.4
Dallas County,MO ,Mod-High,91.2,31.6,37.4,39.9,63.7
Daviess County,MO ,Low-Mod,91.2,28.1,33.4,36.1,50.7
DeKalb County,MO ,Low-Mod,91.2,25,28.2,29.3,53
Dent County,MO ,Mod-High,91.2,27,31.7,33.3,48
Douglas County,MO ,Mod-High,91.2,21.2,24.7,26.4,37.7
Dunklin County,MO ,High,91.2,31.3,37.8,40.3,56.8
Franklin County,MO ,Low,91.2,48.5,56.9,59.6,87.1
Gasconade County,MO ,Low,91.2,46.7,53.8,56.5,83.1
Gentry County,MO ,Low-Mod,91.2,38.6,46.7,49.1,74.1
Greene County,MO ,Low-Mod,91.2,43.5,50.5,51.6,76.8
Grundy County,MO ,Mod-High,91.2,31.1,37.3,39.6,59.8
Harrison County,MO ,Mod-High,91.2,29.3,34.7,37.6,58.3
Henry County,MO ,Mod-High,91.2,39.7,46.4,48.6,70.8
Hickory County,MO ,Low-Mod,91.2,34.8,38.9,41.1,58.3
Holt County,MO ,Low,91.2,36.9,42.3,45,63.9
Howard County,MO ,Low-Mod,91.2,38.5,45,47.2,70.1
Howell County,MO ,Mod-High,91.2,28.4,33.8,35.3,50.9
Iron County,MO ,High,91.2,33.2,38.2,40.7,63.3
Jackson County,MO ,Mod-High,91.2,47.3,56.1,57.7,78.5
Jasper County,MO ,Mod-High,91.2,41.9,50.1,52.6,78.3
Jefferson County,MO ,Low,91.2,38.1,44.7,46.4,67
Johnson County,MO ,Low-Mod,91.2,34.2,40.1,41.4,64.1
Knox County,MO ,Mod-High,91.2,36.3,42.8,45.4,67.2
Laclede County,MO ,Mod-High,91.2,32.7,39.1,41.8,67.1
Lafayette County,MO ,Low-Mod,91.2,40.1,47.1,49.5,72.3
Lawrence County,MO ,High,91.2,33.5,40.1,42.7,63.3
Lewis County,MO ,Low-Mod,91.2,30.5,35.5,38.1,69
Lincoln County,MO ,Low-Mod,91.2,34.1,41.1,43.5,72.2
Linn County,MO ,Low-Mod,91.2,41,48.1,51.7,76
Livingston County,MO ,Low-Mod,91.2,38.8,44.9,47.4,72.8
Macon County,MO ,Mod-High,91.2,35.9,42,45,66
Madison County,MO ,Low-Mod,91.2,33.2,39,41.7,64.4
Maries County,MO ,Mod-High,91.2,33.8,38.7,40.6,56.7
Marion County,MO ,Mod-High,91.2,37.6,44.3,47,78.3
McDonald County,MO ,High,91.2,26.4,31.8,33.6,45.8
Mercer County,MO ,Low-Mod,91.2,30.7,36.3,39.7,55.9
Miller County,MO ,Mod-High,91.2,29.3,34.7,36.9,54.7
Mississippi County,MO ,High,91.2,37.2,43,45.8,67.8
Moniteau County,MO ,Mod-High,91.2,32.2,38.3,39.9,68.9
Monroe County,MO ,Low-Mod,91.2,39.4,45.9,49.1,72.9
Montgomery County,MO ,Mod-High,91.2,43.6,50.7,54.1,81.9
Morgan County,MO ,Mod-High,91.2,33.6,39.7,42.6,70.5
New Madrid County,MO ,High,91.2,28.8,34,36.3,55.2
Newton County,MO ,Low-Mod,91.2,22.5,26.5,28,39.8
Nodaway County,MO ,Low,91.2,43.3,48.2,49.1,86.7
Oregon County,MO ,Low-Mod,91.2,27.2,31.8,33.6,46.1
Osage County,MO ,Low,91.2,35.6,41.5,43.8,66.5
Ozark County,MO ,Mod-High,91.2,27.2,30.8,32.9,42.9
Pemiscot County,MO ,High,91.2,24.1,29.1,31.5,42.3
Perry County,MO ,Low,91.2,34.7,40.6,43.8,70.7
Pettis County,MO ,High,91.2,37,44.3,47,67.7
Phelps County,MO ,Mod-High,91.2,38.4,44.6,46.1,67.1
Pike County,MO ,Mod-High,91.2,33.7,39.4,41.9,69.8
Platte County,MO ,Low,91.2,48.1,56.8,57.6,76.9
Polk County,MO ,Mod-High,91.2,34.8,40.7,42.8,69.2
Pulaski County,MO ,Mod-High,91.2,54,63.7,64.8,80.6
Putnam County,MO ,Mod-High,91.2,29.3,34.4,37.1,54.7
Ralls County,MO ,Low,91.2,25.5,29.4,31.3,49.4
Randolph County,MO ,Mod-High,91.2,32.4,37.8,39.9,64.7
Ray County,MO ,Low-Mod,91.2,34.6,40.5,42.4,58.8
Reynolds County,MO ,Mod-High,91.2,22.1,25.2,26.8,37.5
Ripley County,MO ,Mod-High,91.2,25.1,29.6,31.5,53.3
Saline County,MO ,High,91.2,41.5,48.6,51.1,73.6
Schuyler County,MO ,Low-Mod,91.2,25,30.5,33,52.4
Scotland County,MO ,Mod-High,91.2,23.1,28.8,31.3,54.2
Scott County,MO ,High,91.2,38.5,45.8,49.1,79.1
Shannon County,MO ,Mod-High,91.2,27.1,31.6,33.8,47.5
Shelby County,MO ,Low-Mod,91.2,42.5,50.4,54.3,81.5
St. Charles County,MO ,Low,91.2,53.6,62.9,64.8,86
St. Clair County,MO ,Low-Mod,91.2,30.5,34.8,36.9,52
St. Francois County,MO ,Mod-High,91.2,37.3,43.1,45.4,66.7
St. Louis City,MO ,High,91.2,48.2,55.5,56,65.3
St. Louis County,MO ,Low-Mod,91.2,54.6,63.7,64.7,82.8
Ste. Genevieve County,MO ,Low,91.2,40.1,46.6,49.4,73.3
Stoddard County,MO ,Low-Mod,91.2,34.5,40.2,42.6,66.1
Stone County,MO ,Low-Mod,91.2,34.2,38.1,39.7,52.7
Sullivan County,MO ,Mod-High,91.2,38.4,45.1,47.8,67
Taney County,MO ,High,91.2,35.8,41.4,43,58.6
Texas County,MO ,High,91.2,28.9,33.5,35.4,50.5
Vernon County,MO ,Low-Mod,91.2,30.8,36.2,38.6,56.9
Warren County,MO ,Low-Mod,91.2,36.9,43.6,46,70.9
Washington County,MO ,High,91.2,27.2,31.8,33.9,49.6
Wayne County,MO ,High,91.2,31.9,36.8,39.1,60.7
Webster County,MO ,Mod-High,91.2,38.2,46.4,49.6,76.7
Worth County,MO ,Low,91.2,35.8,41.1,43.9,66.5
Wright County,MO ,High,91.2,32.2,38.7,41.9,66.9
Beaverhead County,MT ,Low-Mod,95.6,47.9,53.8,55.3,86.1
Big Horn County,MT ,High,95.6,66.4,85.8,86.7,99.9
Blaine County,MT ,High,95.6,70.2,87.6,86.8,97.3
Broadwater County,MT ,Low,95.6,28.3,32.5,34.6,59
Carbon County,MT ,Low,95.6,42.5,47.4,49.8,67.5
Carter County,MT ,Low,95.6,26.6,31.7,33.8,57.2
Cascade County,MT ,Low-Mod,95.6,46.4,54.8,57.2,78.3
Chouteau County,MT ,Low-Mod,95.6,26.7,30.7,32.5,53.9
Custer County,MT ,Low-Mod,95.6,37.2,43,45.7,73.1
Daniels County,MT ,Low,95.6,35.9,41.7,44.1,58.4
Dawson County,MT ,Low,95.6,33.4,38.9,42,68.9
Deer Lodge County,MT ,Low-Mod,95.6,51.4,56.1,56.4,82.8
Fallon County,MT ,Low,95.6,29.3,35.8,39,69.2
Fergus County,MT ,Low,95.6,40.7,47,49.5,75
Flathead County,MT ,Low,95.6,36.2,42.3,44.1,64.2
Gallatin County,MT ,Low,95.6,50.8,58.6,60.1,84.4
Garfield County,MT ,Low,95.6,17.2,20.4,22.4,40.6
Glacier County,MT ,High,95.6,70.1,89.2,89.9,99.9
Golden Valley County,MT ,Low,95.6,39,45.5,48.4,78.9
Granite County,MT ,Low,95.6,32.8,36,37.4,46.4
Hill County,MT ,Mod-High,95.6,50.7,63,62.8,85.4
Jefferson County,MT ,Low,95.6,43.3,49.5,51.6,76.5
Judith Basin County,MT ,Low,95.6,33.8,38.9,41.8,65.2
Lake County,MT ,Mod-High,95.6,49.5,58.3,61.6,90.1
Lewis and Clark County,MT ,Low,95.6,51.9,60.5,62.3,84.7
Liberty County,MT ,Low-Mod,95.6,30.2,34.9,36.4,60.5
Lincoln County,MT ,Low-Mod,95.6,30.4,34.2,36,51.7
Madison County,MT ,Low,95.6,39.7,43.9,45.8,65.1
McCone County,MT ,Low,95.6,16.2,18.7,19.9,28.4
Meagher County,MT ,Low,95.6,44.7,50.9,53.8,61
Mineral County,MT ,Mod-High,95.6,47.6,53.8,56,72.5
Missoula County,MT ,Low,95.6,57.3,65.4,66.4,86.9
Musselshell County,MT ,Low-Mod,95.6,30.3,34.2,36.4,53
Park County,MT ,Low,95.6,51,57.5,59.2,70.1
Petroleum County,MT ,Low,95.6,27.7,31.2,33.1,61.6
Phillips County,MT ,Low-Mod,95.6,37.3,44.2,46.7,70.1
Pondera County,MT ,High,95.6,46.3,55.4,57.4,78.6
Powder River County,MT ,Low,95.6,19,21.1,22.5,37.1
Powell County,MT ,Low-Mod,95.6,40,44.3,45.8,71.8
Prairie County,MT ,Low,95.6,33.1,38.3,39.6,55.4
Ravalli County,MT ,Low,95.6,43.1,48.8,51,72.5
Richland County,MT ,Low,95.6,32.3,38.8,41.9,74.6
